what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1396945874363
error,log,,,"Core exception while retrieving the content description",1396945874367
error,log,,,"Core exception while retrieving the content description",1396945874370
error,log,,,"Core exception while retrieving the content description",1396945874373
error,log,,,"Core exception while retrieving the content description",1396945874376
error,log,,,"Core exception while retrieving the content description",1396945874379
error,log,,,"Core exception while retrieving the content description",1396945874395
error,log,,,"Core exception while retrieving the content description",1396945874399
error,log,,,"Core exception while retrieving the content description",1396945874403
error,log,,,"Core exception while retrieving the content description",1396945874407
error,log,,,"Core exception while retrieving the content description",1396945874411
error,log,,,"Core exception while retrieving the content description",1396945874414
error,log,,,"Core exception while retrieving the content description",1396945874418
error,log,,,"Core exception while retrieving the content description",1396945874421
error,log,,,"Core exception while retrieving the content description",1396945874425
error,log,,,"Core exception while retrieving the content description",1396945874428
error,log,,,"Core exception while retrieving the content description",1396945874431
error,log,,,"Core exception while retrieving the content description",1396945874435
error,log,,,"Core exception while retrieving the content description",1396945874438
error,log,,,"Core exception while retrieving the content description",1396945874442
error,log,,,"Core exception while retrieving the content description",1396945874445
error,log,,,"Core exception while retrieving the content description",1396945874448
error,log,,,"Core exception while retrieving the content description",1396945874451
error,log,,,"Core exception while retrieving the content description",1396945874589
error,log,,,"Core exception while retrieving the content description",1396945874597
error,log,,,"Core exception while retrieving the content description",1396945874619
error,log,,,"Core exception while retrieving the content description",1396945874626
error,log,,,"Core exception while retrieving the content description",1396945874633
error,log,,,"Core exception while retrieving the content description",1396945874638
error,log,,,"Core exception while retrieving the content description",1396945874644
error,log,,,"Core exception while retrieving the content description",1396945874651
error,log,,,"Core exception while retrieving the content description",1396945874656
error,log,,,"Core exception while retrieving the content description",1396945874660
error,log,,,"Core exception while retrieving the content description",1396945874690
error,log,,,"Core exception while retrieving the content description",1396945874692
error,log,,,"Core exception while retrieving the content description",1396945874695
error,log,,,"Core exception while retrieving the content description",1396945874699
error,log,,,"Core exception while retrieving the content description",1396945874701
error,log,,,"Core exception while retrieving the content description",1396945874704
error,log,,,"Core exception while retrieving the content description",1396945874707
error,log,,,"Core exception while retrieving the content description",1396945874711
error,log,,,"Core exception while retrieving the content description",1396945874714
error,log,,,"Core exception while retrieving the content description",1396945874717
error,log,,,"Core exception while retrieving the content description",1396945874720
error,log,,,"Core exception while retrieving the content description",1396945874723
error,log,,,"Core exception while retrieving the content description",1396945874727
error,log,,,"Core exception while retrieving the content description",1396945874730
error,log,,,"Core exception while retrieving the content description",1396945874732
error,log,,,"Core exception while retrieving the content description",1396945874735
error,log,,,"Core exception while retrieving the content description",1396945874738
error,log,,,"Core exception while retrieving the content description",1396945874742
error,log,,,"Core exception while retrieving the content description",1396945874746
error,log,,,"Core exception while retrieving the content description",1396945874749
error,log,,,"Core exception while retrieving the content description",1396945874752
error,log,,,"Core exception while retrieving the content description",1396945874755
error,log,,,"Core exception while retrieving the content description",1396945874759
error,log,,,"Core exception while retrieving the content description",1396945874762
error,log,,,"Core exception while retrieving the content description",1396945874765
error,log,,,"Core exception while retrieving the content description",1396945874768
error,log,,,"Core exception while retrieving the content description",1396945874771
error,log,,,"Core exception while retrieving the content description",1396945874775
error,log,,,"Core exception while retrieving the content description",1396945874778
error,log,,,"Core exception while retrieving the content description",1396945874781
error,log,,,"Core exception while retrieving the content description",1396945874784
error,log,,,"Core exception while retrieving the content description",1396945874787
error,log,,,"Core exception while retrieving the content description",1396945874791
error,log,,,"Core exception while retrieving the content description",1396945874794
error,log,,,"Core exception while retrieving the content description",1396945874797
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1396945882527
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1396945882606
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1396945891320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396945891948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396945893876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396945898977
error,log,,,"Core exception while retrieving the content description",1396945899529
error,log,,,"Core exception while retrieving the content description",1396945899531
error,log,,,"Core exception while retrieving the content description",1396945899540
error,log,,,"Core exception while retrieving the content description",1396945899547
error,log,,,"Core exception while retrieving the content description",1396945899554
error,log,,,"Core exception while retrieving the content description",1396945899561
error,log,,,"Core exception while retrieving the content description",1396945899568
error,log,,,"Core exception while retrieving the content description",1396945899577
error,log,,,"Core exception while retrieving the content description",1396945899584
error,log,,,"Core exception while retrieving the content description",1396945899591
error,log,,,"Core exception while retrieving the content description",1396945899599
error,log,,,"Core exception while retrieving the content description",1396945899603
error,log,,,"Core exception while retrieving the content description",1396945899609
error,log,,,"Core exception while retrieving the content description",1396945899613
error,log,,,"Core exception while retrieving the content description",1396945899618
error,log,,,"Core exception while retrieving the content description",1396945899622
error,log,,,"Core exception while retrieving the content description",1396945899625
error,log,,,"Core exception while retrieving the content description",1396945899631
error,log,,,"Core exception while retrieving the content description",1396945899633
error,log,,,"Core exception while retrieving the content description",1396945899636
error,log,,,"Core exception while retrieving the content description",1396945899640
error,log,,,"Core exception while retrieving the content description",1396945899643
error,log,,,"Core exception while retrieving the content description",1396945899646
error,log,,,"Core exception while retrieving the content description",1396945899649
error,log,,,"Core exception while retrieving the content description",1396945899652
error,log,,,"Core exception while retrieving the content description",1396945899662
error,log,,,"Core exception while retrieving the content description",1396945899665
error,log,,,"Core exception while retrieving the content description",1396945899669
error,log,,,"Core exception while retrieving the content description",1396945899673
error,log,,,"Core exception while retrieving the content description",1396945899676
error,log,,,"Core exception while retrieving the content description",1396945899680
error,log,,,"Core exception while retrieving the content description",1396945899683
error,log,,,"Core exception while retrieving the content description",1396945899686
error,log,,,"Core exception while retrieving the content description",1396945899689
error,log,,,"Core exception while retrieving the content description",1396945899704
error,log,,,"Core exception while retrieving the content description",1396945899707
error,log,,,"Core exception while retrieving the content description",1396945899710
error,log,,,"Core exception while retrieving the content description",1396945899714
error,log,,,"Core exception while retrieving the content description",1396945899717
error,log,,,"Core exception while retrieving the content description",1396945899720
error,log,,,"Core exception while retrieving the content description",1396945899723
error,log,,,"Core exception while retrieving the content description",1396945899727
error,log,,,"Core exception while retrieving the content description",1396945899730
error,log,,,"Core exception while retrieving the content description",1396945899733
error,log,,,"Core exception while retrieving the content description",1396945899736
error,log,,,"Publishing failed with multiple errors",1396945900208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396945900242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396945900350
error,log,,,"Core exception while retrieving the content description",1396945900668
error,log,,,"Core exception while retrieving the content description",1396945900671
error,log,,,"Core exception while retrieving the content description",1396945900674
error,log,,,"Core exception while retrieving the content description",1396945900677
error,log,,,"Core exception while retrieving the content description",1396945900680
error,log,,,"Core exception while retrieving the content description",1396945900683
error,log,,,"Core exception while retrieving the content description",1396945900686
error,log,,,"Core exception while retrieving the content description",1396945900689
error,log,,,"Core exception while retrieving the content description",1396945900692
error,log,,,"Core exception while retrieving the content description",1396945900695
error,log,,,"Core exception while retrieving the content description",1396945900699
error,log,,,"Core exception while retrieving the content description",1396945900702
error,log,,,"Core exception while retrieving the content description",1396945900705
error,log,,,"Core exception while retrieving the content description",1396945900708
error,log,,,"Core exception while retrieving the content description",1396945900711
error,log,,,"Core exception while retrieving the content description",1396945900715
error,log,,,"Core exception while retrieving the content description",1396945900718
error,log,,,"Core exception while retrieving the content description",1396945900722
error,log,,,"Core exception while retrieving the content description",1396945900725
error,log,,,"Core exception while retrieving the content description",1396945900728
error,log,,,"Core exception while retrieving the content description",1396945900732
error,log,,,"Core exception while retrieving the content description",1396945900735
error,log,,,"Core exception while retrieving the content description",1396945900738
error,log,,,"Core exception while retrieving the content description",1396945900741
error,log,,,"Core exception while retrieving the content description",1396945900744
error,log,,,"Core exception while retrieving the content description",1396945900749
error,log,,,"Core exception while retrieving the content description",1396945900752
error,log,,,"Core exception while retrieving the content description",1396945900755
error,log,,,"Core exception while retrieving the content description",1396945900758
error,log,,,"Core exception while retrieving the content description",1396945900761
error,log,,,"Core exception while retrieving the content description",1396945900765
error,log,,,"Core exception while retrieving the content description",1396945900768
error,log,,,"Core exception while retrieving the content description",1396945900772
error,log,,,"Core exception while retrieving the content description",1396945900775
error,log,,,"Core exception while retrieving the content description",1396945900779
error,log,,,"Core exception while retrieving the content description",1396945900782
error,log,,,"Core exception while retrieving the content description",1396945900786
error,log,,,"Core exception while retrieving the content description",1396945900790
error,log,,,"Core exception while retrieving the content description",1396945900794
error,log,,,"Core exception while retrieving the content description",1396945900799
error,log,,,"Core exception while retrieving the content description",1396945900803
error,log,,,"Core exception while retrieving the content description",1396945900806
error,log,,,"Core exception while retrieving the content description",1396945900810
error,log,,,"Core exception while retrieving the content description",1396945900814
error,log,,,"Core exception while retrieving the content description",1396945900817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396945905787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396945905875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396945906524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396945909775
error,log,,,"Core exception while retrieving the content description",1396945910425
error,log,,,"Core exception while retrieving the content description",1396945910428
error,log,,,"Core exception while retrieving the content description",1396945910432
error,log,,,"Core exception while retrieving the content description",1396945910435
error,log,,,"Core exception while retrieving the content description",1396945910438
error,log,,,"Core exception while retrieving the content description",1396945910442
error,log,,,"Core exception while retrieving the content description",1396945910446
error,log,,,"Core exception while retrieving the content description",1396945910450
error,log,,,"Core exception while retrieving the content description",1396945910453
error,log,,,"Core exception while retrieving the content description",1396945910457
error,log,,,"Core exception while retrieving the content description",1396945910462
error,log,,,"Core exception while retrieving the content description",1396945910466
error,log,,,"Core exception while retrieving the content description",1396945910471
error,log,,,"Core exception while retrieving the content description",1396945910474
error,log,,,"Core exception while retrieving the content description",1396945910478
error,log,,,"Core exception while retrieving the content description",1396945910483
error,log,,,"Core exception while retrieving the content description",1396945910486
error,log,,,"Core exception while retrieving the content description",1396945910489
error,log,,,"Core exception while retrieving the content description",1396945910492
error,log,,,"Core exception while retrieving the content description",1396945910496
error,log,,,"Core exception while retrieving the content description",1396945910500
error,log,,,"Core exception while retrieving the content description",1396945910503
error,log,,,"Core exception while retrieving the content description",1396945910507
error,log,,,"Core exception while retrieving the content description",1396945910510
error,log,,,"Core exception while retrieving the content description",1396945910514
error,log,,,"Core exception while retrieving the content description",1396945910520
error,log,,,"Core exception while retrieving the content description",1396945910522
error,log,,,"Core exception while retrieving the content description",1396945910526
error,log,,,"Core exception while retrieving the content description",1396945910529
error,log,,,"Core exception while retrieving the content description",1396945910532
error,log,,,"Core exception while retrieving the content description",1396945910536
error,log,,,"Core exception while retrieving the content description",1396945910539
error,log,,,"Core exception while retrieving the content description",1396945910543
error,log,,,"Core exception while retrieving the content description",1396945910545
error,log,,,"Core exception while retrieving the content description",1396945910549
error,log,,,"Core exception while retrieving the content description",1396945910554
error,log,,,"Core exception while retrieving the content description",1396945910557
error,log,,,"Core exception while retrieving the content description",1396945910561
error,log,,,"Core exception while retrieving the content description",1396945910564
error,log,,,"Core exception while retrieving the content description",1396945910567
error,log,,,"Core exception while retrieving the content description",1396945910570
error,log,,,"Core exception while retrieving the content description",1396945910573
error,log,,,"Core exception while retrieving the content description",1396945910577
error,log,,,"Core exception while retrieving the content description",1396945910580
error,log,,,"Core exception while retrieving the content description",1396945910584
error,log,,,"Publishing failed with multiple errors",1396945910980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396945911020
error,log,,,"Core exception while retrieving the content description",1396945911610
error,log,,,"Core exception while retrieving the content description",1396945911613
error,log,,,"Core exception while retrieving the content description",1396945911616
error,log,,,"Core exception while retrieving the content description",1396945911619
error,log,,,"Core exception while retrieving the content description",1396945911622
error,log,,,"Core exception while retrieving the content description",1396945911624
error,log,,,"Core exception while retrieving the content description",1396945911627
error,log,,,"Core exception while retrieving the content description",1396945911631
error,log,,,"Core exception while retrieving the content description",1396945911634
error,log,,,"Core exception while retrieving the content description",1396945911636
error,log,,,"Core exception while retrieving the content description",1396945911641
error,log,,,"Core exception while retrieving the content description",1396945911644
error,log,,,"Core exception while retrieving the content description",1396945911647
error,log,,,"Core exception while retrieving the content description",1396945911650
error,log,,,"Core exception while retrieving the content description",1396945911653
error,log,,,"Core exception while retrieving the content description",1396945911656
error,log,,,"Core exception while retrieving the content description",1396945911659
error,log,,,"Core exception while retrieving the content description",1396945911662
error,log,,,"Core exception while retrieving the content description",1396945911665
error,log,,,"Core exception while retrieving the content description",1396945911668
error,log,,,"Core exception while retrieving the content description",1396945911671
error,log,,,"Core exception while retrieving the content description",1396945911674
error,log,,,"Core exception while retrieving the content description",1396945911677
