what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396773674207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396773943997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396773944629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396773945761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396773945994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396775310355
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1396775311810
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1396775311811
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1396775318100
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1396775318139
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1396775318139
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1396775319057
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1396775319098
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1396775319098
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1396775319553
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1396775319553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396775321394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396775563661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396775564600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396775565489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396775566835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396777116070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396777116383
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1396778275459
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1396778275681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396781993526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396781993969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782314370
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782314674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782315632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782317655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782318505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782318636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782416596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782418737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782605740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782608489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782609772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782615579
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396782622375
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1396782624576
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1396782624579
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1396782625183
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1396782625288
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1396782625320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782625383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1396782625424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782629050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782630929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396782632894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782634821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782636643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396782637575
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1396782637709
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1396782638545
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1396782638616
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1396782639678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782640739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782648507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782730086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782787253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782840192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782841469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396782843911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396782930748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782951696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782962676
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1396782971371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782975964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782978987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782985065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396782993158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396783002860
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1396783016650
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1396783016707
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.ui",1396783037332
started,bundle,org.eclipse.wst.validation.ui,1.2.300.v201201050300,"org.eclipse.wst.validation.ui",1396783044446
started,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1396783044512
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1396783045038
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1396783045137
started,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v201107221501,"org.eclipse.datatools.enablement.jdt.classpath",1396783065818
started,bundle,org.eclipse.datatools.connectivity,1.2.4.v201202041105,"org.eclipse.datatools.connectivity",1396783066055
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.2.v201111190813,"org.eclipse.datatools.connectivity.ui",1396783066057
started,bundle,org.eclipse.datatools.connectivity.apache.derby,1.0.102.v201107221459,"org.eclipse.datatools.connectivity.apache.derby",1396783066204
started,bundle,org.eclipse.datatools.enablement.msft.sqlserver,1.0.1.v201107221504,"org.eclipse.datatools.enablement.msft.sqlserver",1396783066241
started,bundle,org.eclipse.datatools.enablement.sqlite,1.0.0.v201002041100,"org.eclipse.datatools.enablement.sqlite",1396783066273
started,bundle,org.eclipse.datatools.enablement.sybase.asa,1.0.1.v201107221507,"org.eclipse.datatools.enablement.sybase.asa",1396783066323
started,bundle,org.eclipse.datatools.enablement.sybase.ase,1.0.2.v201201131122,"org.eclipse.datatools.enablement.sybase.ase",1396783066371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396783251483
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1396783252284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396783255229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396783259401
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1396783278798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396783281645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396783298761
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396783299006
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396783299218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396783303061
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1396783304494
