127.0.0.1 - - [06/Apr/2014:00:01:30 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:01:31 +0800] "GET /testStruts/index.jsp HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:01:37 +0800] "GET /testStruts/index HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:01:44 +0800] "GET /testStruts/first HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:02:39 +0800] "GET /testStruts/first?uname=oliver HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:02:46 +0800] "GET /testStruts/first?uname=hi HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:05:01 +0800] "GET /testStruts/index.jsp HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:05:04 +0800] "POST /testStruts/index.jsp HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:05:06 +0800] "POST /testStruts/index.jsp HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:05:25 +0800] "POST /testStruts/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:05:29 +0800] "POST /testStruts/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:05:32 +0800] "GET /testStruts/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:05:35 +0800] "POST /testStruts/first HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:05:39 +0800] "GET /testStruts/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:05:43 +0800] "POST /testStruts/first HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:08:06 +0800] "GET /testStruts/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:08:09 +0800] "POST /testStruts/first HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:09:12 +0800] "GET /testStruts/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:09:14 +0800] "POST /testStruts/first HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:09:17 +0800] "GET /testStruts/index.jsp HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:09:23 +0800] "POST /testStruts/first HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:09:32 +0800] "GET /testStruts/first?uname=oliver HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [06/Apr/2014:00:09:36 +0800] "GET /testStruts/first?uname=123 HTTP/1.1" 200 300
